Results
Filename spectrum1 spectrum2 spectrum3 spectrum4 spectrum5 spectrum6 spectrum7 spectrum8 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson48/467.mtx 4:83 6:887 8:11452 10:155549 12:2253555 14:33440124 16:506965741 18:7806071481 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson48/907.mtx 4:91 6:1025 8:14172 10:205270 12:3125165 14:48973608 16:784252447 18:12751583547 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson48/022.mtx 4:93 6:1134 8:16115 10:239400 12:3762302 14:60850700 16:1004839173 18:16854017188 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson48/426.mtx 4:98 6:1252 8:17863 10:272401 12:4411826 14:73233117 16:1241618085 18:21383936097 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson48/012.mtx 4:103 6:1058 8:14259 10:209603 12:3216628 14:50647493 16:814612475 18:13310123355 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson48/632.mtx 4:66 6:674 8:7768 10:97194 12:1274337 14:17219155 16:237261459 18:3322965893 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson48/227.mtx 4:85 6:1003 8:13500 10:192696 12:2901149 14:44902941 16:709936740 18:11402771736 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson48/899.mtx 4:75 6:863 8:10753 10:146209 12:2078528 14:30442603 16:455294264 18:6917573940 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson48/705.mtx 4:87 6:942 8:12251 10:170904 12:2519450 14:38099748 16:588363375 18:9230005860 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson48/668.mtx 4:70 6:745 8:8856 10:114785 12:1552087 14:21681419 16:308835830 18:4469800889 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson48/087.mtx 4:73 6:925 8:11781 10:162179 12:2354628 14:35222717 16:537959412 18:8345758625 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson48/640.mtx 4:96 6:1086 8:15943 10:232611 12:3644750 14:58651375 16:963311037 18:16072512019 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson48/998.mtx 4:86 6:919 8:11444 10:159848 12:2328069 14:34680440 16:528453882 18:8179917757 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson48/948.mtx 4:104 6:1002 8:14408 10:209483 12:3215469 14:50581407 16:813483274 18:13289336484 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson48/608.mtx 4:58 6:522 8:5261 10:60201 12:718720 14:8815635 16:110513265 18:1406313599 
