Results
Filename spectrum1 spectrum2 spectrum3 spectrum4 spectrum5 spectrum6 spectrum7 spectrum8 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager48/467.mtx 4:157 6:1359 8:25473 10:402630 12:7179446 14:128458454 16:2365065619 18:44120090120 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager48/907.mtx 4:145 6:1352 8:25415 10:404112 12:7180832 14:128456004 16:2364963075 18:44120058168 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager48/022.mtx 4:153 6:1394 8:25319 10:402462 12:7178059 14:128490816 16:2365042453 18:44119782660 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager48/426.mtx 4:156 6:1357 8:25187 10:403929 12:7180441 14:128467377 16:2365037674 18:44119786962 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager48/012.mtx 4:155 6:1362 8:25267 10:403702 12:7178754 14:128467826 16:2365044483 18:44119917390 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager48/632.mtx 4:157 6:1326 8:25260 10:404512 12:7178204 14:128470822 16:2365054204 18:44119515344 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager48/227.mtx 4:146 6:1344 8:25472 10:404192 12:7177194 14:128463846 16:2365042809 18:44119791186 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager48/899.mtx 4:151 6:1381 8:25387 10:402898 12:7178376 14:128477281 16:2365010068 18:44119978857 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager48/705.mtx 4:142 6:1379 8:25475 10:403341 12:7178458 14:128470336 16:2365041420 18:44119738551 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager48/668.mtx 4:146 6:1357 8:25471 10:403541 12:7178197 14:128474748 16:2365021165 18:44119773385 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager48/087.mtx 4:140 6:1402 8:25428 10:402896 12:7180261 14:128471738 16:2365041367 18:44119755554 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager48/640.mtx 4:154 6:1330 8:25384 10:403860 12:7178739 14:128478550 16:2364989029 18:44119791254 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager48/998.mtx 4:139 6:1384 8:25527 10:403542 12:7175653 14:128469028 16:2365117177 18:44119542334 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager48/948.mtx 4:133 6:1404 8:25569 10:403148 12:7177942 14:128466940 16:2365059307 18:44119679452 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager48/608.mtx 4:170 6:1327 8:25189 10:403175 12:7179610 14:128483492 16:2365051022 18:44119953771 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager48/863.mtx 4:150 6:1371 8:25399 10:403081 12:7179130 14:128472192 16:2365037208 18:44119916099 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager48/927.mtx 4:146 6:1390 8:25405 10:403126 12:7177727 14:128467860 16:2365096497 18:44119901528 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager48/332.mtx 4:156 6:1366 8:25240 10:403394 12:7180959 14:128465978 16:2365025347 18:44119991766 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager48/824.mtx 4:153 6:1358 8:25476 10:402752 12:7176432 14:128489086 16:2365066765 18:44119724720 
